"skills","avg_salary"
"pyspark","208172"
"bitbucket","189155"
"couchbase","160515"
"watson","160515"
"datarobot","155486"
"gitlab","154500"
"swift","153750"
"jupyter","152777"
"pandas","151821"
"elasticsearch","145000"
"golang","145000"
"numpy","143513"
"databricks","141907"
"linux","136508"
"kubernetes","132500"
"atlassian","131162"
"twilio","127000"
"airflow","126103"
"scikit-learn","125781"
"jenkins","125436"
"notion","125000"
"scala","124903"
"postgresql","123879"
"gcp","122500"
"microstrategy","121619"
"crystal","120100"
"go","115320"
"confluence","114210"
"db2","114072"
"hadoop","113193"
"snowflake","112948"
"git","112000"
"ibm cloud","111500"
"azure","111225"
"bigquery","109654"
"aws","108317"
"shell","108200"
"unix","107667"
"java","106906"
"ssis","106683"
"jira","104918"
"oracle","104534"
"dax","104500"
"looker","103795"
"sap","102920"
"nosql","101414"
"python","101397"
"r","100499"
"redshift","99936"
"qlik","99631"
"tableau","99288"
"ssrs","99171"
"spark","99077"
"c++","98958"
"c","98938"
"sas","98902"
"sql server","97786"
"javascript","97587"
"rust","97500"
"power bi","97431"
"sql","97237"
"phoenix","97230"
"flow","97200"
"bash","96558"
"t-sql","96365"
"visio","95842"
"unity","95500"
"powershell","95275"
"mysql","95224"
"php","95000"
"mariadb","95000"
"matlab","94200"
"alteryx","94145"
"cognos","93264"
"spss","92170"
"pascal","92000"
"github","91580"
"outlook","90077"
"clickup","90000"
"vb.net","90000"
"sqlite","89167"
"vba","88783"
"powerpoint","88701"
"microsoft teams","87854"
"excel","87288"
"c#","86540"
"html","86438"
"sheets","86088"
"ms access","85519"
"chef","85000"
"node.js","83500"
"arch","82750"
"word","82576"
"spring","82000"
"spreadsheet","81892"
"sharepoint","81634"
"webex","81250"
"zoom","80740"
"terminal","80625"
"express","80000"
"plotly","78750"
"seaborn","77500"
"planner","76800"
"matplotlib","76301"
"ggplot2","75000"
"windows","74124"
"erlang","72500"
"julia","71148"
"colocation","67500"
"sass","67500"
"mongodb","66020"
"smartsheet","63000"
"visual basic","62500"
"ruby","61780"
"css","52500"
"ruby on rails","51059"
"wire","42500"
